version,N,hilos,frames,tiempo_total_s,fps_promedio,update_ms_por_frame,render_ms_por_frame,checksum
Secuencial,1000,1,180,0.150035,1199.720,0.5436,0.2816,1004099.7795
Secuencial,1000,1,180,0.160954,1118.334,0.5568,0.3267,1004099.7795
Secuencial,1000,1,180,0.152038,1183.913,0.5563,0.2815,1004099.7795
Secuencial,1000,1,180,0.150675,1194.623,0.5513,0.2705,1004099.7795
Secuencial,1000,1,180,0.164118,1096.771,0.5752,0.3279,1004099.7795
Secuencial,2000,1,180,0.411072,437.879,1.9794,0.2967,1489827.0527
Secuencial,2000,1,180,0.419206,429.383,2.0172,0.3047,1489827.0527
Secuencial,2000,1,180,0.412625,436.231,1.9853,0.2996,1489827.0527
Secuencial,2000,1,180,0.415954,432.740,2.0051,0.2975,1489827.0527
Secuencial,2000,1,180,0.420416,428.147,2.0214,0.3053,1489827.0527
Secuencial,4000,1,180,1.330915,135.245,7.0040,0.3817,2845697.5024
Secuencial,4000,1,180,1.330941,135.243,7.0165,0.3700,2845697.5024
Secuencial,4000,1,180,1.355897,132.753,7.1455,0.3781,2845697.5024
Secuencial,4000,1,180,1.334589,134.873,7.0360,0.3708,2845697.5024
Secuencial,4000,1,180,1.411345,127.538,7.4177,0.4150,2845697.5024
Secuencial,8000,1,180,8.559934,21.028,46.9587,0.5842,3641141.1607
Secuencial,8000,1,180,8.261856,21.787,45.3389,0.5479,3641141.1607
Secuencial,8000,1,180,8.356199,21.541,45.8354,0.5747,3641141.1607
Secuencial,8000,1,180,8.270224,21.765,45.3561,0.5726,3641141.1607
Secuencial,8000,1,180,8.274151,21.754,45.3564,0.5977,3641141.1607
Secuencial,6000,1,180,4.150789,43.365,22.5733,0.4763,4031471.8704
Secuencial,6000,1,180,4.098313,43.921,22.2742,0.4832,4031471.8704
Secuencial,6000,1,180,4.226790,42.586,22.9755,0.4969,4031471.8704
Secuencial,6000,1,180,4.139272,43.486,22.5029,0.4823,4031471.8704
Secuencial,6000,1,180,4.093275,43.975,22.2573,0.4739,4031471.8704
Secuencial,5000,1,180,2.353154,76.493,12.6528,0.4124,3483723.6215
Secuencial,5000,1,180,2.468666,72.914,13.2670,0.4365,3483723.6215
Secuencial,5000,1,180,2.517219,71.507,13.5638,0.4135,3483723.6215
Secuencial,5000,1,180,2.380398,75.618,12.7937,0.4235,3483723.6215
Secuencial,5000,1,180,2.398767,75.039,12.9002,0.4187,3483723.6215
Secuencial,5500,1,180,3.192952,56.374,17.2739,0.4545,3723330.1401
Secuencial,5500,1,180,3.235064,55.640,17.4914,0.4720,3723330.1401
Secuencial,5500,1,180,3.307267,54.426,17.8782,0.4861,3723330.1401
Secuencial,5500,1,180,3.196939,56.304,17.3004,0.4522,3723330.1401
Secuencial,5500,1,180,3.215465,55.979,17.4091,0.4458,3723330.1401
Secuencial,5250,1,180,2.853728,63.075,15.3947,0.4515,3708270.8657
Secuencial,5250,1,180,2.750325,65.447,14.8386,0.4282,3708270.8657
Secuencial,5250,1,180,2.764810,65.104,14.9051,0.4385,3708270.8657
Secuencial,5250,1,180,2.764652,65.108,14.9042,0.4471,3708270.8657
Secuencial,5250,1,180,2.722321,66.120,14.6624,0.4509,3708270.8657
Secuencial,5375,1,180,2.980203,60.399,16.0934,0.4544,3705797.7080
Secuencial,5375,1,180,2.995736,60.085,16.1982,0.4367,3705797.7080
Secuencial,5375,1,180,2.969154,60.623,16.0437,0.4410,3705797.7080
Secuencial,5375,1,180,2.998670,60.027,16.1872,0.4596,3705797.7080
Secuencial,5375,1,180,3.158564,56.988,17.0783,0.4571,3705797.7080
Secuencial,5312,1,180,3.026961,59.466,16.3403,0.4634,3722746.4065
Secuencial,5312,1,180,2.896031,62.154,15.6257,0.4524,3722746.4065
Secuencial,5312,1,180,2.826449,63.684,15.2806,0.4150,3722746.4065
Secuencial,5312,1,180,3.026741,59.470,16.3612,0.4465,3722746.4065
Secuencial,5312,1,180,2.945278,61.115,15.9165,0.4386,3722746.4065
Secuencial,5343,1,180,2.897773,62.117,15.6626,0.4275,3763713.1356
Secuencial,5343,1,180,2.935865,61.311,15.8793,0.4234,3763713.1356
Secuencial,5343,1,180,2.944217,61.137,15.9328,0.4169,3763713.1356
Secuencial,5343,1,180,3.129337,57.520,16.9060,0.4657,3763713.1356
Secuencial,5343,1,180,2.882216,62.452,15.5950,0.4091,3763713.1356
Paralela v1,1000,16,180,0.104097,1729.159,0.2039,0.3618,1004099.7795
Paralela v1,1000,16,180,0.121327,1483.590,0.2543,0.4052,1004099.7795
Paralela v1,1000,16,180,0.127403,1412.843,0.2952,0.4037,1004099.7795
Paralela v1,1000,16,180,0.105591,1704.687,0.2077,0.3707,1004099.7795
Paralela v1,1000,16,180,0.105771,1701.793,0.2056,0.3744,1004099.7795
Paralela v1,2000,16,180,0.150833,1193.376,0.4813,0.3495,1489827.0527
Paralela v1,2000,16,180,0.156995,1146.536,0.5134,0.3513,1489827.0527
Paralela v1,2000,16,180,0.162015,1111.006,0.5155,0.3773,1489827.0527
Paralela v1,2000,16,180,0.159246,1130.330,0.5246,0.3525,1489827.0527
Paralela v1,2000,16,180,0.155229,1159.581,0.4906,0.3647,1489827.0527
Paralela v1,4000,16,180,0.312402,576.182,1.3170,0.4108,2845697.5024
Paralela v1,4000,16,180,0.320368,561.854,1.3368,0.4345,2845697.5024
Paralela v1,4000,16,180,0.322543,558.066,1.3101,0.4744,2845697.5024
Paralela v1,4000,16,180,0.313672,573.848,1.3147,0.4186,2845697.5024
Paralela v1,4000,16,180,0.337216,533.783,1.4271,0.4349,2845697.5024
Paralela v1,8000,16,180,1.308366,137.576,6.6992,0.5606,3641141.1607
Paralela v1,8000,16,180,1.393400,129.180,7.1320,0.5934,3641141.1607
Paralela v1,8000,16,180,1.308068,137.608,6.6783,0.5798,3641141.1607
Paralela v1,8000,16,180,1.278982,140.737,6.5105,0.5848,3641141.1607
Paralela v1,8000,16,180,1.300655,138.392,6.6485,0.5688,3641141.1607
Paralela v1,16000,16,180,2.608406,69.008,13.6792,0.8010,760944.0729
Paralela v1,16000,16,180,2.416603,74.485,12.6443,0.7715,760944.0729
Paralela v1,16000,16,180,2.578078,69.819,13.5172,0.7947,760944.0729
Paralela v1,16000,16,180,2.512504,71.642,13.1461,0.8025,760944.0729
Paralela v1,16000,16,180,2.638467,68.221,13.8377,0.8095,760944.0729
Paralela v1,32000,16,180,2.282827,78.850,11.7933,0.8784,318455.3751
Paralela v1,32000,16,180,2.645390,68.043,13.7142,0.9661,318455.3751
Paralela v1,32000,16,180,2.431422,74.031,12.6097,0.8888,318455.3751
Paralela v1,32000,16,180,2.421704,74.328,12.4719,0.9675,318455.3751
Paralela v1,32000,16,180,2.365629,76.090,12.2287,0.9023,318455.3751
Paralela v1,64000,16,180,5.113816,35.199,27.2473,1.1535,353805.0158
Paralela v1,64000,16,180,5.228548,34.426,27.8897,1.1476,353805.0158
Paralela v1,64000,16,180,5.177651,34.765,27.5870,1.1662,353805.0158
Paralela v1,64000,16,180,5.209360,34.553,27.7796,1.1509,353805.0158
Paralela v1,64000,16,180,5.245469,34.315,27.9794,1.1525,353805.0158
Paralela v1,48000,16,180,3.653481,49.268,19.2732,1.0146,334745.3152
Paralela v1,48000,16,180,3.480914,51.711,18.3182,1.0105,334745.3152
Paralela v1,48000,16,180,3.641332,49.432,19.2180,1.0019,334745.3152
Paralela v1,48000,16,180,3.512073,51.252,18.4942,1.0081,334745.3152
Paralela v1,48000,16,180,3.602205,49.969,18.9804,1.0215,334745.3152
Paralela v1,40000,16,180,2.838732,63.409,14.7668,0.9943,319040.0958
Paralela v1,40000,16,180,2.933429,61.362,15.3303,0.9572,319040.0958
Paralela v1,40000,16,180,2.831233,63.577,14.7149,0.9932,319040.0958
Paralela v1,40000,16,180,2.998527,60.029,15.6772,0.9714,319040.0958
Paralela v1,40000,16,180,2.865950,62.806,14.9260,0.9850,319040.0958
Paralela v1,44000,16,180,3.342720,53.848,17.5394,1.0213,313738.6963
Paralela v1,44000,16,180,3.172422,56.739,16.5889,1.0257,313738.6963
Paralela v1,44000,16,180,3.314235,54.311,17.4122,0.9910,313738.6963
Paralela v1,44000,16,180,3.199656,56.256,16.7348,1.0314,313738.6963
Paralela v1,44000,16,180,3.368041,53.444,17.6883,1.0127,313738.6963
Paralela v1,42000,16,180,3.085187,58.343,16.1215,1.0086,322038.1875
Paralela v1,42000,16,180,3.244904,55.472,16.9933,1.0238,322038.1875
Paralela v1,42000,16,180,3.061418,58.796,15.9843,1.0145,322038.1875
Paralela v1,42000,16,180,3.211835,56.043,16.8239,1.0102,322038.1875
Paralela v1,42000,16,180,3.090131,58.250,16.0938,1.0545,322038.1875
Paralela v1,41000,16,180,3.077375,58.491,16.1164,0.9692,336338.4892
Paralela v1,41000,16,180,2.982059,60.361,15.5639,0.9871,336338.4892
Paralela v1,41000,16,180,3.071572,58.602,16.0535,0.9952,336338.4892
Paralela v1,41000,16,180,2.913392,61.784,15.1946,0.9806,336338.4892
Paralela v1,41000,16,180,3.115975,57.767,16.2952,1.0020,336338.4892
Paralela v1,40500,16,180,2.946564,61.088,15.3875,0.9735,336769.4952
Paralela v1,40500,16,180,3.006079,59.879,15.6802,1.0088,336769.4952
Paralela v1,40500,16,180,2.922589,61.589,15.2404,0.9861,336769.4952
Paralela v1,40500,16,180,3.072929,58.576,16.0825,0.9784,336769.4952
Paralela v1,40500,16,180,2.917100,61.705,15.2075,0.9895,336769.4952
Paralela v1,40750,16,180,3.123274,57.632,16.3720,0.9694,335981.2591
Paralela v1,40750,16,180,2.925407,61.530,15.2489,0.9941,335981.2591
Paralela v1,40750,16,180,3.075564,58.526,16.0919,0.9846,335981.2591
Paralela v1,40750,16,180,2.903623,61.992,15.0977,1.0235,335981.2591
Paralela v1,40750,16,180,3.059488,58.833,16.0185,0.9656,335981.2591
Paralela v2,1000,16,180,0.104464,1723.085,0.1822,0.3847,1004099.7795
Paralela v2,1000,16,180,0.100730,1786.949,0.1765,0.3759,1004099.7795
Paralela v2,1000,16,180,0.097966,1837.364,0.1709,0.3648,1004099.7795
Paralela v2,1000,16,180,0.100215,1796.137,0.1648,0.3839,1004099.7795
Paralela v2,1000,16,180,0.103476,1739.532,0.1924,0.3744,1004099.7795
Paralela v2,2000,16,180,0.141657,1270.675,0.4526,0.3258,1489827.0527
Paralela v2,2000,16,180,0.155809,1155.258,0.4996,0.3576,1489827.0527
Paralela v2,2000,16,180,0.160832,1119.181,0.5341,0.3508,1489827.0527
Paralela v2,2000,16,180,0.138610,1298.603,0.4470,0.3148,1489827.0527
Paralela v2,2000,16,180,0.151004,1192.018,0.4628,0.3680,1489827.0527
Paralela v2,4000,16,180,0.307090,586.148,1.2744,0.4222,2845697.5024
Paralela v2,4000,16,180,0.297913,604.204,1.2458,0.4012,2845697.5024
Paralela v2,4000,16,180,0.298156,603.711,1.2455,0.4022,2845697.5024
Paralela v2,4000,16,180,0.289305,622.181,1.2081,0.3902,2845697.5024
Paralela v2,4000,16,180,0.299534,600.934,1.2497,0.4050,2845697.5024
Paralela v2,8000,16,180,1.154679,155.888,5.8393,0.5654,3641141.1607
Paralela v2,8000,16,180,1.181509,152.348,6.0069,0.5476,3641141.1607
Paralela v2,8000,16,180,1.184497,151.963,6.0061,0.5624,3641141.1607
