  Secuencial (1 hilos) N=1000: 1158.7 FPS -> OK
  Secuencial (1 hilos) N=2000: 432.9 FPS -> OK
  Secuencial (1 hilos) N=4000: 133.1 FPS -> OK
  Secuencial (1 hilos) N=8000: 21.6 FPS -> bajo
  Secuencial (1 hilos) N=6000: 43.5 FPS -> bajo
  Secuencial (1 hilos) N=5000: 74.3 FPS -> OK
  Secuencial (1 hilos) N=5500: 55.7 FPS -> bajo
  Secuencial (1 hilos) N=5250: 65.0 FPS -> OK
  Secuencial (1 hilos) N=5375: 59.6 FPS -> bajo
  Secuencial (1 hilos) N=5312: 61.2 FPS -> OK
  Secuencial (1 hilos) N=5343: 60.9 FPS -> OK
  Paralela v1 (16 hilos) N=1000: 1606.4 FPS -> OK
  Paralela v1 (16 hilos) N=2000: 1148.2 FPS -> OK
  Paralela v1 (16 hilos) N=4000: 560.7 FPS -> OK
  Paralela v1 (16 hilos) N=8000: 136.7 FPS -> OK
  Paralela v1 (16 hilos) N=16000: 70.6 FPS -> OK
  Paralela v1 (16 hilos) N=32000: 74.3 FPS -> OK
  Paralela v1 (16 hilos) N=64000: 34.7 FPS -> bajo
  Paralela v1 (16 hilos) N=48000: 50.3 FPS -> bajo
  Paralela v1 (16 hilos) N=40000: 62.2 FPS -> OK
  Paralela v1 (16 hilos) N=44000: 54.9 FPS -> bajo
  Paralela v1 (16 hilos) N=42000: 57.4 FPS -> bajo
  Paralela v1 (16 hilos) N=41000: 59.4 FPS -> bajo
  Paralela v1 (16 hilos) N=40500: 60.6 FPS -> OK
  Paralela v1 (16 hilos) N=40750: 59.7 FPS -> bajo
  Paralela v2 (16 hilos) N=1000: 1776.6 FPS -> OK
  Paralela v2 (16 hilos) N=2000: 1207.1 FPS -> OK
  Paralela v2 (16 hilos) N=4000: 603.4 FPS -> OK
  Paralela v2 (16 hilos) N=8000: 154.9 FPS -> OK
  Paralela v2 (16 hilos) N=16000: 79.9 FPS -> OK
  Paralela v2 (16 hilos) N=32000: 84.9 FPS -> OK
  Paralela v2 (16 hilos) N=64000: 37.2 FPS -> bajo
  Paralela v2 (16 hilos) N=48000: 54.7 FPS -> bajo
  Paralela v2 (16 hilos) N=40000: 69.2 FPS -> OK
  Paralela v2 (16 hilos) N=44000: 61.4 FPS -> OK
  Paralela v2 (16 hilos) N=46000: 57.9 FPS -> bajo
  Paralela v2 (16 hilos) N=45000: 59.6 FPS -> bajo
  Paralela v2 (16 hilos) N=44500: 60.3 FPS -> OK
  Paralela v2 (16 hilos) N=44750: 59.7 FPS -> bajo
