version,N,hilos,frames,tiempo_total_s,fps_promedio,update_ms_por_frame,render_ms_por_frame,checksum
Secuencial,2000,1,300,0.6765,443.46,1.959,0.291,1704742.1997
Secuencial,2000,1,300,0.6805,440.87,1.967,0.296,1704742.1997
Secuencial,2000,1,300,0.7277,412.25,2.094,0.325,1704742.1997
Secuencial,2000,1,300,0.7388,406.07,2.132,0.325,1704742.1997
Secuencial,2000,1,300,0.6946,431.93,2.002,0.308,1704742.1997
Secuencial,2000,1,300,0.6955,431.34,2.027,0.287,1704742.1997
Secuencial,2000,1,300,0.6893,435.22,1.989,0.303,1704742.1997
Secuencial,2000,1,300,0.6769,443.21,1.956,0.295,1704742.1997
Secuencial,2000,1,300,0.7301,410.90,2.119,0.310,1704742.1997
Secuencial,2000,1,300,0.6763,443.60,1.955,0.294,1704742.1997
Paralela v1,2000,1,300,0.8408,356.82,2.501,0.296,1704742.1997
Paralela v1,2000,1,300,0.9117,329.07,2.714,0.319,1704742.1997
Paralela v1,2000,1,300,0.8659,346.44,2.580,0.301,1704742.1997
Paralela v1,2000,1,300,0.9053,331.37,2.691,0.321,1704742.1997
Paralela v1,2000,1,300,0.8456,354.79,2.510,0.303,1704742.1997
Paralela v1,2000,1,300,0.8347,359.40,2.485,0.292,1704742.1997
Paralela v1,2000,1,300,0.8815,340.31,2.619,0.313,1704742.1997
Paralela v1,2000,1,300,0.8281,362.27,2.472,0.284,1704742.1997
Paralela v1,2000,1,300,0.8289,361.93,2.472,0.286,1704742.1997
Paralela v1,2000,1,300,0.8836,339.51,2.626,0.313,1704742.1997
Paralela v1,2000,2,300,0.5424,553.09,1.477,0.325,1704742.1997
Paralela v1,2000,2,300,0.5409,554.59,1.481,0.316,1704742.1997
Paralela v1,2000,2,300,0.4894,612.95,1.324,0.301,1704742.1997
Paralela v1,2000,2,300,0.5741,522.60,1.588,0.320,1704742.1997
Paralela v1,2000,2,300,0.4978,602.66,1.355,0.299,1704742.1997
Paralela v1,2000,2,300,0.5166,580.73,1.399,0.318,1704742.1997
Paralela v1,2000,2,300,0.5092,589.15,1.386,0.305,1704742.1997
Paralela v1,2000,2,300,0.5108,587.29,1.387,0.310,1704742.1997
Paralela v1,2000,2,300,0.5046,594.58,1.376,0.300,1704742.1997
Paralela v1,2000,2,300,0.5000,600.02,1.351,0.310,1704742.1997
Paralela v1,2000,4,300,0.3650,822.01,0.874,0.336,1704742.1997
Paralela v1,2000,4,300,0.3593,835.07,0.848,0.344,1704742.1997
Paralela v1,2000,4,300,0.3754,799.21,0.916,0.330,1704742.1997
Paralela v1,2000,4,300,0.3494,858.59,0.826,0.333,1704742.1997
Paralela v1,2000,4,300,0.3449,869.90,0.828,0.316,1704742.1997
Paralela v1,2000,4,300,0.3567,840.99,0.869,0.311,1704742.1997
Paralela v1,2000,4,300,0.3516,853.18,0.851,0.314,1704742.1997
Paralela v1,2000,4,300,0.3541,847.25,0.827,0.347,1704742.1997
Paralela v1,2000,4,300,0.3413,878.87,0.800,0.333,1704742.1997
Paralela v1,2000,4,300,0.3335,899.52,0.785,0.321,1704742.1997
Paralela v1,2000,8,300,0.2979,1007.00,0.658,0.330,1704742.1997
Paralela v1,2000,8,300,0.2934,1022.57,0.636,0.335,1704742.1997
Paralela v1,2000,8,300,0.2892,1037.18,0.644,0.315,1704742.1997
Paralela v1,2000,8,300,0.2911,1030.42,0.631,0.332,1704742.1997
Paralela v1,2000,8,300,0.2860,1048.78,0.632,0.316,1704742.1997
Paralela v1,2000,8,300,0.2889,1038.31,0.641,0.316,1704742.1997
Paralela v1,2000,8,300,0.2928,1024.70,0.639,0.330,1704742.1997
Paralela v1,2000,8,300,0.2976,1007.93,0.657,0.330,1704742.1997
Paralela v1,2000,8,300,0.2955,1015.23,0.644,0.335,1704742.1997
Paralela v1,2000,8,300,0.2939,1020.79,0.645,0.328,1704742.1997
Paralela v1,2000,16,300,0.2554,1174.47,0.503,0.342,1704742.1997
Paralela v1,2000,16,300,0.2588,1159.36,0.505,0.352,1704742.1997
Paralela v1,2000,16,300,0.2475,1212.14,0.479,0.340,1704742.1997
Paralela v1,2000,16,300,0.2740,1094.92,0.532,0.375,1704742.1997
Paralela v1,2000,16,300,0.2581,1162.38,0.511,0.343,1704742.1997
Paralela v1,2000,16,300,0.2602,1153.07,0.512,0.350,1704742.1997
Paralela v1,2000,16,300,0.2563,1170.62,0.497,0.351,1704742.1997
Paralela v1,2000,16,300,0.2542,1180.30,0.490,0.351,1704742.1997
Paralela v1,2000,16,300,0.2563,1170.68,0.496,0.353,1704742.1997
Paralela v1,2000,16,300,0.2753,1089.74,0.532,0.379,1704742.1997
Paralela v2,2000,1,300,0.7948,377.47,2.293,0.351,1704742.1997
Paralela v2,2000,1,300,0.7805,384.39,2.255,0.341,1704742.1997
Paralela v2,2000,1,300,0.7761,386.56,2.239,0.343,1704742.1997
Paralela v2,2000,1,300,0.7800,384.63,2.246,0.348,1704742.1997
Paralela v2,2000,1,300,0.8632,347.56,2.494,0.374,1704742.1997
Paralela v2,2000,1,300,0.8218,365.07,2.368,0.365,1704742.1997
Paralela v2,2000,1,300,0.8217,365.11,2.376,0.358,1704742.1997
Paralela v2,2000,1,300,0.8382,357.92,2.420,0.367,1704742.1997
Paralela v2,2000,1,300,0.7834,382.96,2.259,0.346,1704742.1997
Paralela v2,2000,1,300,0.8433,355.72,2.437,0.369,1704742.1997
Paralela v2,2000,2,300,0.5513,544.14,1.471,0.359,1704742.1997
Paralela v2,2000,2,300,0.4461,672.51,1.193,0.289,1704742.1997
Paralela v2,2000,2,300,0.4468,671.46,1.198,0.286,1704742.1997
Paralela v2,2000,2,300,0.4803,624.63,1.291,0.303,1704742.1997
Paralela v2,2000,2,300,0.4458,673.01,1.200,0.281,1704742.1997
Paralela v2,2000,2,300,0.4631,647.75,1.249,0.289,1704742.1997
Paralela v2,2000,2,300,0.4498,666.91,1.201,0.291,1704742.1997
Paralela v2,2000,2,300,0.4511,665.02,1.212,0.287,1704742.1997
Paralela v2,2000,2,300,0.4829,621.24,1.307,0.298,1704742.1997
Paralela v2,2000,2,300,0.4714,636.40,1.266,0.300,1704742.1997
Paralela v2,2000,4,300,0.2967,1011.24,0.700,0.279,1704742.1997
Paralela v2,2000,4,300,0.2927,1024.98,0.702,0.268,1704742.1997
Paralela v2,2000,4,300,0.2946,1018.30,0.710,0.267,1704742.1997
Paralela v2,2000,4,300,0.2943,1019.51,0.698,0.278,1704742.1997
Paralela v2,2000,4,300,0.2890,1038.20,0.680,0.278,1704742.1997
Paralela v2,2000,4,300,0.2992,1002.63,0.717,0.274,1704742.1997
Paralela v2,2000,4,300,0.2895,1036.13,0.693,0.267,1704742.1997
Paralela v2,2000,4,300,0.2829,1060.47,0.668,0.269,1704742.1997
Paralela v2,2000,4,300,0.2848,1053.33,0.670,0.274,1704742.1997
Paralela v2,2000,4,300,0.3013,995.70,0.710,0.288,1704742.1997
Paralela v2,2000,8,300,0.2377,1261.85,0.513,0.275,1704742.1997
Paralela v2,2000,8,300,0.2470,1214.47,0.534,0.284,1704742.1997
Paralela v2,2000,8,300,0.2480,1209.50,0.531,0.290,1704742.1997
Paralela v2,2000,8,300,0.2332,1286.45,0.494,0.277,1704742.1997
Paralela v2,2000,8,300,0.2474,1212.37,0.513,0.306,1704742.1997
Paralela v2,2000,8,300,0.2467,1216.18,0.527,0.289,1704742.1997
Paralela v2,2000,8,300,0.2408,1246.09,0.505,0.291,1704742.1997
Paralela v2,2000,8,300,0.2545,1178.94,0.537,0.304,1704742.1997
Paralela v2,2000,8,300,0.2441,1229.18,0.512,0.294,1704742.1997
