version,N,hilos,corridas,tiempo_prom_s,tiempo_desv_s,tiempo_min_s,tiempo_max_s,fps_prom,update_ms,render_ms,speedup,eficiencia,checksum
Secuencial,2000,1,10,0.698620,0.024384,0.676300,0.738800,429.885000,2.020000,0.303400,1.000000,1.000000,1704742.1997
Paralela v1,2000,1,10,0.862610,0.031467,0.828100,0.911700,348.191000,2.567000,0.302800,0.809891,0.809891,1704742.1997
Paralela v1,2000,2,10,0.518580,0.026086,0.489400,0.574100,579.766000,1.412400,0.310400,1.347179,0.673589,1704742.1997
Paralela v1,2000,4,10,0.353120,0.012009,0.333500,0.375400,850.459000,0.842400,0.328500,1.978421,0.494605,1704742.1997
Paralela v1,2000,8,10,0.292630,0.003872,0.286000,0.297900,1025.291000,0.642700,0.326700,2.387383,0.298423,1704742.1997
Paralela v1,2000,16,10,0.259610,0.008642,0.247500,0.275300,1156.768000,0.505700,0.353600,2.691037,0.168190,1704742.1997
Paralela v2,2000,1,10,0.810300,0.031389,0.776100,0.863200,370.739000,2.338700,0.356200,0.862175,0.862175,1704742.1997
Paralela v2,2000,2,10,0.468860,0.032282,0.445800,0.551300,642.307000,1.258800,0.298300,1.490040,0.745020,1704742.1997
Paralela v2,2000,4,10,0.292500,0.005966,0.282900,0.301300,1026.049000,0.694800,0.274200,2.388444,0.597111,1704742.1997
Paralela v2,2000,8,10,0.245820,0.007503,0.233200,0.258800,1221.431000,0.520000,0.292800,2.841998,0.355250,1704742.1997
Paralela v2,2000,16,10,0.244180,0.012155,0.218000,0.262600,1231.503000,0.465200,0.340600,2.861086,0.178818,1704742.1997
Secuencial,5000,1,10,4.701930,0.222688,4.476200,4.957100,63.932000,15.222800,0.443200,1.000000,1.000000,2835466.1556
Paralela v1,5000,1,10,3.960570,0.100727,3.827200,4.139700,75.791000,12.778400,0.416200,1.187185,1.187185,2835466.1556
Paralela v1,5000,2,10,2.183470,0.071331,2.105300,2.322100,137.525000,6.849700,0.421800,2.153421,1.076710,2835466.1556
Paralela v1,5000,4,10,1.325730,0.048141,1.222000,1.370800,226.569000,3.960500,0.452500,3.546672,0.886668,2835466.1556
Paralela v1,5000,8,10,1.022000,0.040023,0.944400,1.085100,293.956000,2.923600,0.476200,4.600714,0.575089,2835466.1556
Paralela v1,5000,16,10,0.821030,0.038999,0.790800,0.893600,366.101000,2.216800,0.512300,5.726867,0.357929,2835466.1556
Paralela v2,5000,1,10,4.010060,0.154720,3.829500,4.268500,74.912000,12.831900,0.527300,1.172534,1.172534,2835466.1556
Paralela v2,5000,2,10,2.148120,0.070569,2.041400,2.236900,139.794000,6.742400,0.411300,2.188858,1.094429,2835466.1556
Paralela v2,5000,4,10,1.311630,0.044789,1.246500,1.385200,228.961000,3.956200,0.408400,3.584799,0.896200,2835466.1556
Paralela v2,5000,8,10,0.893290,0.028299,0.853900,0.950200,336.136000,2.559600,0.410100,5.263610,0.657951,2835466.1556
Paralela v2,5000,16,10,0.703510,0.013792,0.686800,0.735000,426.576000,1.899000,0.437400,6.683530,0.417721,2835466.1556
Secuencial,10000,1,10,19.673000,0.468449,19.132400,20.399300,15.257000,64.910700,0.649600,1.000000,1.000000,3722046.5700
Paralela v1,10000,1,10,19.341390,0.218620,19.081700,19.683600,15.513000,63.822900,0.636200,1.017145,1.017145,3722046.5700
Paralela v1,10000,2,10,10.315490,0.330849,9.960000,10.875900,29.109000,33.757900,0.616600,1.907132,0.953566,3722046.5700
Paralela v1,10000,4,10,5.867410,0.264201,5.468400,6.243300,51.223000,18.896300,0.652200,3.352927,0.838232,3722046.5700
Paralela v1,10000,8,10,4.094410,0.109319,3.941000,4.253300,73.318000,12.936200,0.689400,4.804844,0.600605,3722046.5700
Paralela v1,10000,16,10,3.277900,0.041596,3.226700,3.350000,91.534000,10.210400,0.706200,6.001708,0.375107,3722046.5700
Paralela v2,10000,1,10,19.361010,0.728014,18.865800,20.949400,15.514000,63.744600,0.780400,1.016114,1.016114,3722046.5700
Paralela v2,10000,2,10,10.127500,0.259513,9.797700,10.563000,29.639000,33.141100,0.606900,1.942533,0.971266,3722046.5700
Paralela v2,10000,4,10,5.854050,0.121531,5.628800,6.046900,51.267000,18.924500,0.580000,3.360579,0.840145,3722046.5700
Paralela v2,10000,8,10,3.623590,0.054710,3.545000,3.695400,82.808000,11.485700,0.583300,5.429146,0.678643,3722046.5700
Paralela v2,10000,16,10,2.718250,0.036428,2.670500,2.782100,110.382000,8.458100,0.593100,7.237377,0.452336,3722046.5700
