version,N,hilos,frames,tiempo_total_s,fps_promedio,update_ms_por_frame,render_ms_por_frame,checksum
Secuencial,5000,1,120,1.408380,85.204,11.2899,0.4382,2227288.0649
Secuencial,5000,1,120,1.464571,81.935,11.7189,0.4744,2227288.0649
Secuencial,5000,1,120,1.392521,86.175,11.1625,0.4335,2227288.0649
Secuencial,5000,1,120,1.460279,82.176,11.6917,0.4672,2227288.0649
Secuencial,5000,1,120,1.468138,81.736,11.7533,0.4712,2227288.0649
Secuencial,5000,1,120,1.471154,81.569,11.7784,0.4718,2227288.0649
Secuencial,5000,1,120,1.485006,80.808,11.8765,0.4863,2227288.0649
Secuencial,5000,1,120,1.278208,93.881,10.2440,0.3999,2227288.0649
Secuencial,5000,1,120,1.290737,92.970,10.3353,0.4110,2227288.0649
Secuencial,5000,1,120,1.376995,87.146,11.0118,0.4538,2227288.0649
Paralela v1,5000,8,120,0.308155,389.414,2.0588,0.4994,2227288.0649
Paralela v1,5000,8,120,0.363909,329.753,2.4894,0.5326,2227288.0649
Paralela v1,5000,8,120,0.354210,338.782,2.4003,0.5409,2227288.0649
Paralela v1,5000,8,120,0.360795,332.599,2.4343,0.5620,2227288.0649
Paralela v1,5000,8,120,0.354444,338.558,2.4000,0.5434,2227288.0649
Paralela v1,5000,8,120,0.329880,363.768,2.2342,0.5036,2227288.0649
Paralela v1,5000,8,120,0.308573,388.887,2.0291,0.5322,2227288.0649
Paralela v1,5000,8,120,0.378169,317.318,2.5807,0.5608,2227288.0649
Paralela v1,5000,8,120,0.389287,308.256,2.7505,0.4835,2227288.0649
Paralela v1,5000,8,120,0.353637,339.331,2.3882,0.5487,2227288.0649
Paralela v1,5000,16,120,0.415787,288.609,2.7636,0.6911,2227288.0649
Paralela v1,5000,16,120,0.415526,288.790,2.8207,0.6311,2227288.0649
Paralela v1,5000,16,120,0.436807,274.721,2.9967,0.6334,2227288.0649
Paralela v1,5000,16,120,0.352265,340.653,2.3290,0.5946,2227288.0649
Paralela v1,5000,16,120,0.415675,288.687,2.7086,0.7420,2227288.0649
Paralela v1,5000,16,120,0.425399,282.088,2.8248,0.7098,2227288.0649
Paralela v1,5000,16,120,0.392424,305.792,2.5042,0.7500,2227288.0649
Paralela v1,5000,16,120,0.403283,297.558,2.7569,0.5939,2227288.0649
Paralela v1,5000,16,120,0.405133,296.199,2.4859,0.8436,2227288.0649
Paralela v1,5000,16,120,0.356921,336.209,2.3501,0.6122,2227288.0649
Paralela v2,5000,8,120,0.299200,401.069,2.0784,0.4026,2227288.0649
Paralela v2,5000,8,120,0.281390,426.455,1.9121,0.4229,2227288.0649
Paralela v2,5000,8,120,0.277310,432.729,1.9232,0.3788,2227288.0649
Paralela v2,5000,8,120,0.283073,423.919,1.9806,0.3677,2227288.0649
Paralela v2,5000,8,120,0.288621,415.771,1.9983,0.3966,2227288.0649
Paralela v2,5000,8,120,0.278650,430.648,1.9386,0.3743,2227288.0649
Paralela v2,5000,8,120,0.269411,445.415,1.8393,0.3953,2227288.0649
Paralela v2,5000,8,120,0.273424,438.879,1.8933,0.3752,2227288.0649
Paralela v2,5000,8,120,0.277413,432.568,1.9200,0.3797,2227288.0649
Paralela v2,5000,8,120,0.293633,408.673,2.0516,0.3844,2227288.0649
Paralela v2,5000,16,120,0.344563,348.267,2.1581,0.6948,2227288.0649
Paralela v2,5000,16,120,0.334634,358.600,2.2461,0.5319,2227288.0649
Paralela v2,5000,16,120,0.333352,359.980,2.2677,0.4980,2227288.0649
Paralela v2,5000,16,120,0.340610,352.309,2.2039,0.6117,2227288.0649
Paralela v2,5000,16,120,0.439258,273.188,2.8329,0.8126,2227288.0649
Paralela v2,5000,16,120,0.327453,366.465,2.1434,0.5746,2227288.0649
Paralela v2,5000,16,120,0.359825,333.495,2.3190,0.6631,2227288.0649
Paralela v2,5000,16,120,0.317924,377.448,2.1098,0.5251,2227288.0649
Paralela v2,5000,16,120,0.340006,352.935,2.2460,0.5770,2227288.0649
Paralela v2,5000,16,120,0.295702,405.814,1.9732,0.4805,2227288.0649
