version,N,hilos,frames,tiempo_total_s,fps_promedio,update_ms_por_frame,render_ms_por_frame,checksum
Secuencial,5000,1,120,1.272869,94.275,10.1975,0.4016,2227288.0649
Secuencial,5000,1,120,1.405240,85.395,11.2374,0.4590,2227288.0649
Secuencial,5000,1,120,1.340852,89.495,10.7499,0.4144,2227288.0649
Secuencial,5000,1,120,1.282368,93.577,10.2722,0.4044,2227288.0649
Secuencial,5000,1,120,1.275419,94.087,10.2131,0.4058,2227288.0649
Secuencial,5000,1,120,1.401673,85.612,11.2082,0.4589,2227288.0649
Secuencial,5000,1,120,1.429833,83.926,11.4530,0.4531,2227288.0649
Secuencial,5000,1,120,1.277456,93.937,10.2422,0.3948,2227288.0649
Secuencial,5000,1,120,1.342857,89.362,10.7449,0.4367,2227288.0649
Secuencial,5000,1,120,1.374357,87.314,11.0058,0.4370,2227288.0649
Paralela v1,5000,8,120,0.356958,336.174,2.5273,0.4346,2227288.0649
Paralela v1,5000,8,120,0.335914,357.234,2.3105,0.4798,2227288.0649
Paralela v1,5000,8,120,0.369430,324.825,2.6246,0.4450,2227288.0649
Paralela v1,5000,8,120,0.378933,316.679,2.7108,0.4381,2227288.0649
Paralela v1,5000,8,120,0.342589,350.274,2.3653,0.4801,2227288.0649
Paralela v1,5000,8,120,0.378553,316.997,2.6886,0.4573,2227288.0649
Paralela v1,5000,8,120,0.375833,319.291,2.6536,0.4681,2227288.0649
Paralela v1,5000,8,120,0.377626,317.775,2.7057,0.4331,2227288.0649
Paralela v1,5000,8,120,0.386433,310.532,2.7642,0.4478,2227288.0649
Paralela v1,5000,8,120,0.397174,302.135,2.8347,0.4615,2227288.0649
Paralela v1,5000,16,120,0.296612,404.569,1.9708,0.4909,2227288.0649
Paralela v1,5000,16,120,0.290328,413.326,1.9266,0.4834,2227288.0649
Paralela v1,5000,16,120,0.291709,411.369,1.9270,0.4945,2227288.0649
Paralela v1,5000,16,120,0.314708,381.305,2.0736,0.5394,2227288.0649
Paralela v1,5000,16,120,0.291817,411.216,1.9100,0.5118,2227288.0649
Paralela v1,5000,16,120,0.292677,410.008,1.9103,0.5192,2227288.0649
Paralela v1,5000,16,120,0.293088,409.433,1.9226,0.5103,2227288.0649
Paralela v1,5000,16,120,0.284901,421.198,1.8510,0.5132,2227288.0649
Paralela v1,5000,16,120,0.285195,420.764,1.8471,0.5189,2227288.0649
Paralela v1,5000,16,120,0.294741,407.137,1.9502,0.4959,2227288.0649
Paralela v2,5000,8,120,0.289570,414.408,2.0113,0.3930,2227288.0649
Paralela v2,5000,8,120,0.284437,421.886,1.9850,0.3754,2227288.0649
Paralela v2,5000,8,120,0.306651,391.324,2.1607,0.3856,2227288.0649
Paralela v2,5000,8,120,0.279115,429.930,1.9362,0.3791,2227288.0649
Paralela v2,5000,8,120,0.287844,416.892,2.0041,0.3862,2227288.0649
Paralela v2,5000,8,120,0.288705,415.649,2.0146,0.3820,2227288.0649
Paralela v2,5000,8,120,0.319411,375.692,2.2551,0.3980,2227288.0649
Paralela v2,5000,8,120,0.281310,426.575,1.9371,0.3983,2227288.0649
Paralela v2,5000,8,120,0.313011,383.373,2.2017,0.3970,2227288.0649
Paralela v2,5000,8,120,0.283881,422.713,1.9796,0.3774,2227288.0649
Paralela v2,5000,16,120,0.244395,491.008,1.6104,0.4157,2227288.0649
Paralela v2,5000,16,120,0.241543,496.806,1.5970,0.4038,2227288.0649
Paralela v2,5000,16,120,0.245513,488.773,1.6248,0.4109,2227288.0649
Paralela v2,5000,16,120,0.242693,494.453,1.5918,0.4214,2227288.0649
Paralela v2,5000,16,120,0.260963,459.836,1.7341,0.4305,2227288.0649
Paralela v2,5000,16,120,0.252504,475.239,1.6683,0.4259,2227288.0649
Paralela v2,5000,16,120,0.244397,491.004,1.6101,0.4164,2227288.0649
Paralela v2,5000,16,120,0.244316,491.168,1.5892,0.4370,2227288.0649
Paralela v2,5000,16,120,0.249481,480.999,1.6109,0.4568,2227288.0649
Paralela v2,5000,16,120,0.252037,476.120,1.6712,0.4186,2227288.0649
